nom,email,ville,secteur,raison_specifique
CASH AND REPAIR,y.monvoisin@cashandrepair.fr,La Roche-Sur-Yon,Maintenance & Support IT,entreprise ayant accueilli des etudiants BTS en stage - familiere avec les alternants
VALLET Informatique,valletinformatique44@gmail.com,Vallet,Informatique / IT,"entreprise ayant accueilli des etudiants BTS en stage - familiere avec les alternants, contact : Arnaud BOUSSIAUD"
U Technologie,utechnologie.chemille@orange.fr,Chemille-Melay,Informatique / IT,"entreprise ayant accueilli des etudiants BTS en stage - familiere avec les alternants, contact : Pascal CHAVIGNON"
Leni,trousseau@leni.fr,Angers,Informatique / IT,"entreprise ayant accueilli des etudiants BTS en stage - familiere avec les alternants, contact : Thibault Rousseau"
ELECTRONIQUE SERVICE SARL BREAU,tizz@wanadoo.fr,Saint Melaine Sur Aubance,Electronique & Systemes,entreprise ayant accueilli des etudiants BTS en stage - familiere avec les alternants
SysD Informatique,sysd.info@gmail.com,Montrevault-Sur-Evre,Informatique / IT,"entreprise ayant accueilli des etudiants BTS en stage - familiere avec les alternants, contact : Vincent DUGUY"
Communauté d 'agglo de St Gilles croix de vie,support@payssaintgilles.fr,Saint Gilles Croix De Vie,Informatique / IT,"entreprise ayant accueilli des etudiants BTS en stage - familiere avec les alternants, contact : Johan Quaireau"
TAMARA Electronique,stephane.flao@tamelec.com,Distre,Electronique & Systemes,"entreprise ayant accueilli des etudiants BTS en stage - familiere avec les alternants, contact : Stéphane FLAO"
AJYP INFORMATIQUE,stagiaire@ajyp.fr,Sevremoine,Informatique / IT,"entreprise ayant accueilli des etudiants BTS en stage - familiere avec les alternants, contact : Jérôme GABARD"
Action Réparation,sonia.bretagne.pro@gmail.com,Ancenis,Maintenance & Support IT,"entreprise ayant accueilli des etudiants BTS en stage - familiere avec les alternants, contact : Sonia BRETAGNE"
A3 MULTIMEDIA,sebastien.burgevin@a3multimedia.com,Cholet,Informatique / IT,"entreprise ayant accueilli des etudiants BTS en stage - familiere avec les alternants, contact : Sébastien BURGEVIN"
SARL SDO INFORMATIQUE,sdo-informatique@orange.fr,Tierce,Informatique / IT,"entreprise ayant accueilli des etudiants BTS en stage - familiere avec les alternants, contact : Sébastien CHILDEBRAND"
EURO MICRO,sav@euro-micro.com,Angers,Maintenance & Support IT,"entreprise ayant accueilli des etudiants BTS en stage - familiere avec les alternants, contact : Pascal PONGIERE"
SARL JC Informatique,sarl-jcinformatique@orange.fr,Thouars,Informatique / IT,"entreprise ayant accueilli des etudiants BTS en stage - familiere avec les alternants, contact : Franck JANAY"
BULL SAS,sandra.lizi@atos.net,Trelaze,Informatique / IT,entreprise ayant accueilli des etudiants BTS en stage - familiere avec les alternants
Bodet SA,rh@bodet.com,Cholet,Informatique / IT,"entreprise ayant accueilli des etudiants BTS en stage - familiere avec les alternants, contact : Nicolas Legrier"
ADVENTI INFORMATIQUE,ph-besnier@adventi.fr,Beaucouze,Informatique / IT,"entreprise ayant accueilli des etudiants BTS en stage - familiere avec les alternants, contact : Philippe BESNIER"
PC NET SERVICES,pcnet-services@wanadoo.fr,Saumur,Reseaux & Infrastructure,"entreprise ayant accueilli des etudiants BTS en stage - familiere avec les alternants, contact : GRANGER"
IGTech System,nicolas@igtechprivilege.fr,Craponne,Informatique / IT,"entreprise ayant accueilli des etudiants BTS en stage - familiere avec les alternants, contact : Nicolas CORRAND"
CYBERTEK,nantes@cybertek.fr,Reze,Cybersecurite,"entreprise ayant accueilli des etudiants BTS en stage - familiere avec les alternants, contact : DAGONNEAU"
SARL Ancenis Réseau Informatique,n.lunel@ari-ancenis.fr,Varades,Reseaux & Infrastructure,"entreprise ayant accueilli des etudiants BTS en stage - familiere avec les alternants, contact : Nicolas LUNEL"
